0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,URL
Tennessee,SEC,SO,QB,12,64,-36,-0.6,3,64,-36,-0.6,3,,,,,https://www.sports-reference.com/cfb/players/casey-clausen-1.html
Tennessee,SEC,JR,QB,11,61,-7,-0.1,1,61,-7,-0.1,1,,,,,https://www.sports-reference.com/cfb/players/casey-clausen-1.html
Tennessee,SEC,SR,QB,13,64,-45,-0.7,2,64,-45,-0.7,2,,,,,https://www.sports-reference.com/cfb/players/casey-clausen-1.html
Tennessee,229,-130,-0.6,6,229,-130,-0.6,6,,,,,,,,,https://www.sports-reference.com/cfb/players/casey-clausen-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/bj-symons-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/bj-symons-1.html
Texas Tech,Big 12,FR,QB,5,3,12,4.0,0,3,12,4.0,0,,,,,https://www.sports-reference.com/cfb/players/bj-symons-1.html
Texas Tech,Big 12,SO,QB,4,6,22,3.7,1,6,22,3.7,1,,,,,https://www.sports-reference.com/cfb/players/bj-symons-1.html
Texas Tech,Big 12,JR,QB,9,12,31,2.6,0,1,19,19.0,0,13,50,3.8,0,https://www.sports-reference.com/cfb/players/bj-symons-1.html
Texas Tech,Big 12,SR,QB,13,79,143,1.8,5,79,143,1.8,5,,,,,https://www.sports-reference.com/cfb/players/bj-symons-1.html
Texas Tech,100,208,2.1,6,1,19,19.0,0,101,227,2.2,6,,,,,https://www.sports-reference.com/cfb/players/bj-symons-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/craig-krenzel-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/craig-krenzel-1.html
Ohio State,Big Ten,FR,QB,6,5,-11,-2.2,0,5,-11,-2.2,0,,,,,https://www.sports-reference.com/cfb/players/craig-krenzel-1.html
Ohio State,Big Ten,SO,QB,2,8,-12,-1.5,0,8,-12,-1.5,0,,,,,https://www.sports-reference.com/cfb/players/craig-krenzel-1.html
Ohio State,Big Ten,SR,QB,14,125,368,2.9,3,125,368,2.9,3,,,,,https://www.sports-reference.com/cfb/players/craig-krenzel-1.html
Ohio State,Big Ten,SR,QB,11,109,255,2.3,3,109,255,2.3,3,,,,,https://www.sports-reference.com/cfb/players/craig-krenzel-1.html
Ohio State,247,600,2.4,6,247,600,2.4,6,,,,,,,,,https://www.sports-reference.com/cfb/players/craig-krenzel-1.html
,,,,,,,,,,,,,,,,,https://www.sports-reference.com/cfb/players/jared-lorenzen-1.html
