URL,Year,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,0,1,2,3,4,5,6,7,8,9,10,11,12,13
https://www.sports-reference.com/cfb/players/matt-schaub-1.html,,,,,,,,,,,,,,,,Virginia,ACC,SR,QB,11,281,403,69.7,2952,7.3,7.1,18,10,141.0
https://www.sports-reference.com/cfb/players/matt-schaub-1.html,,,,,,,,,,,,,,,,Virginia,716,1069,67.0,7502,7.0,7.0,56,26,138.4,,,,
https://www.sports-reference.com/cfb/players/bradlee-van-pelt-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bradlee-van-pelt-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bradlee-van-pelt-1.html,,,,,,,,,,,,,,,,Colorado State,MWC,SO,QB,11,94,194,48.5,1247,6.4,4.9,8,10,105.7
https://www.sports-reference.com/cfb/players/bradlee-van-pelt-1.html,,,,,,,,,,,,,,,,Colorado State,MWC,JR,QB,14,150,287,52.3,2073,7.2,6.8,10,7,119.6
https://www.sports-reference.com/cfb/players/bradlee-van-pelt-1.html,,,,,,,,,,,,,,,,Colorado State,MWC,SR,QB,13,180,297,60.6,2845,9.6,8.9,19,13,153.4
https://www.sports-reference.com/cfb/players/bradlee-van-pelt-1.html,,,,,,,,,,,,,,,,Colorado State,424,778,54.5,6165,7.9,7.1,37,30,129.0,,,,
https://www.sports-reference.com/cfb/players/josh-haldi-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-haldi-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-haldi-1.html,,,,,,,,,,,,,,,,Northern Illinois,MAC,QB,3,4,7,57.1,60,8.6,8.6,0,0,129.1,
https://www.sports-reference.com/cfb/players/josh-haldi-1.html,,,,,,,,,,,,,,,,Northern Illinois,MAC,SO,QB,12,130,254,51.2,2027,8.0,8.1,15,6,133.0
https://www.sports-reference.com/cfb/players/josh-haldi-1.html,,,,,,,,,,,,,,,,Northern Illinois,MAC,JR,QB,12,199,336,59.2,2544,7.6,7.9,25,9,142.0
https://www.sports-reference.com/cfb/players/josh-haldi-1.html,,,,,,,,,,,,,,,,Northern Illinois,MAC,SR,QB,9,94,179,52.5,1384,7.7,8.4,15,4,140.6
https://www.sports-reference.com/cfb/players/josh-haldi-1.html,,,,,,,,,,,,,,,,Northern Illinois,427,776,55.0,6015,7.8,8.1,55,19,138.6,,,,
https://www.sports-reference.com/cfb/players/gino-guidugli-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/gino-guidugli-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/gino-guidugli-1.html,,,,,,,,,,,,,,,,Cincinnati,CUSA,FR,QB,10,185,317,58.4,2573,8.1,7.8,16,9,137.5
https://www.sports-reference.com/cfb/players/gino-guidugli-1.html,,,,,,,,,,,,,,,,Cincinnati,CUSA,SO,QB,14,258,472,54.7,3543,7.5,6.4,22,21,124.2
https://www.sports-reference.com/cfb/players/gino-guidugli-1.html,,,,,,,,,,,,,,,,Cincinnati,CUSA,JR,QB,12,227,425,53.4,2704,6.4,6.0,14,10,113.0
https://www.sports-reference.com/cfb/players/gino-guidugli-1.html,,,,,,,,,,,,,,,,Cincinnati,CUSA,SR,QB,11,210,342,61.4,2633,7.7,8.2,26,8,146.5
https://www.sports-reference.com/cfb/players/gino-guidugli-1.html,,,,,,,,,,,,,,,,Cincinnati,880,1556,56.6,11453,7.4,7.0,78,48,128.8,,,,
https://www.sports-reference.com/cfb/players/timmy-chang-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/timmy-chang-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/timmy-chang-1.html,,,,,,,,,,,,,,,,Hawaii,WAC,FR,QB,10,245,469,52.2,3041,6.5,5.5,19,19,112.0
https://www.sports-reference.com/cfb/players/timmy-chang-1.html,,,,,,,,,,,,,,,,Hawaii,WAC,SO,QB,3,83,140,59.3,1100,7.9,6.8,6,6,130.9
https://www.sports-reference.com/cfb/players/timmy-chang-1.html,,,,,,,,,,,,,,,,Hawaii,WAC,SO,QB,14,349,624,55.9,4474,7.2,6.4,25,22,122.3
https://www.sports-reference.com/cfb/players/timmy-chang-1.html,,,,,,,,,,,,,,,,Hawaii,WAC,JR,QB,13,353,601,58.7,4199,7.0,6.5,29,20,126.7
https://www.sports-reference.com/cfb/players/timmy-chang-1.html,,,,,,,,,,,,,,,,Hawaii,WAC,SR,QB,13,358,602,59.5,4258,7.1,7.4,38,13,135.4
https://www.sports-reference.com/cfb/players/timmy-chang-1.html,,,,,,,,,,,,,,,,Hawaii,1388,2436,57.0,17072,7.0,6.5,117,80,125.1,,,,
https://www.sports-reference.com/cfb/players/jared-allen-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jared-allen-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jared-allen-1.html,,,,,,,,,,,,,,,,Florida Atlantic,Sun Belt,SR,QB,12,177,291,60.8,2554,8.8,8.4,13,8,143.8
https://www.sports-reference.com/cfb/players/jared-allen-1.html,,,,,,,,,,,,,,,,Florida Atlantic,177,291,60.8,2554,8.8,8.4,13,8,143.8,,,,
https://www.sports-reference.com/cfb/players/bryan-randall-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bryan-randall-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/bryan-randall-1.html,,,,,,,,,,,,,,,,Virginia Tech,Big East,QB,8,12,34,35.3,114,3.4,2.0,0,1,57.6,
https://www.sports-reference.com/cfb/players/bryan-randall-1.html,,,,,,,,,,,,,,,,Virginia Tech,Big East,SO,QB,14,158,248,63.7,2134,8.6,7.6,12,11,143.1
