"","year","player","position","age","AV","school","GRADE","DRAFTED BY","PK(OVR)","OVR RANK"
"212",2021,"trevor lawrence","QB",21,21,"Clemson",97,"Jacksonville","1(1)",1
"213",2021,"davis mills","QB",22,14,"Stanford",79,"Houston","3(67)",63
"214",2021,"kyle trask","QB",23,0,"Florida",78,"Tampa Bay","32(64)",65
"215",2022,"matt corral","QB",23,0,"Mississippi",86,"Carolina","30(94)",47
"216",2022,"sam howell","QB",21,1,"North Carolina",85,"Washington","1(144)",50
"217",2022,"kenny pickett","QB",23,7,"Pittsburgh",90,"Pittsburgh","20(20)",22
"218",2022,"brock purdy","QB",22,6,"Iowa St.",31,"San Francisco","41(262)",361
"219",2022,"desmond ridder","QB",22,3,"Cincinnati",86,"Atlanta","10(74)",43
"220",2022,"skylar thompson","QB",24,2,"Kansas St.",48,"Miami","26(247)",235
"221",2022,"malik willis","QB",22,1,"Liberty",90,"Tennessee","22(86)",21
"222",2022,"bailey zappe","QB",22,2,"Western Kentucky",59,"New England","32(137)",161
