Player,Season,Age,Team,G,GS,AV,Pos
Reche Caldwell,2006,27,NWE,16,14,8,WR
Mark Clayton,2006,24,BAL,16,12,8,WR
Larry Fitzgerald,2006,23,ARI,13,13,8,WR
Joey Galloway,2006,35,TAM,16,14,8,WR
Santonio Holmes,2006,22,PIT,16,4,8,WR
Darrell Jackson,2006,28,SEA,13,13,8,WR
Santana Moss,2006,27,WAS,14,14,8,WR
Muhsin Muhammad,2006,33,CHI,16,16,8,WR
Arnaz Battle,2006,26,SFO,16,15,7,WR
Drew Bennett,2006,28,TEN,16,15,7,WR
Bernard Berrian,2006,26,CHI,15,14,7,WR
Reggie Brown,2006,25,PHI,16,15,7,WR
Antonio Bryant,2006,25,SFO,14,13,7,WR
Devery Henderson,2006,24,NOR,13,7,7,WR
Vincent Jackson,2006,23,SDG,16,7,7,WR
Matt Jones,2006,23,JAX,14,4,7,WR
Derrick Mason,2006,32,BAL,16,15,7,WR
Reggie Williams,2006,23,JAX,16,14,7,WR
Deion Branch,2006,27,SEA,14,13,6,WR
Patrick Crayton,2006,27,DAL,16,7,6,WR
Braylon Edwards,2006,23,CLE,16,15,6,WR
Chris Henry,2006,23,CIN,13,4,6,WR
Joe Horn,2006,34,NOR,10,9,6,WR
Bryant Johnson,2006,25,ARI,16,8,6,WR
Keyshawn Johnson,2006,34,CAR,16,16,6,WR
Keenan McCardell,2006,36,SDG,14,11,6,WR
Samie Parker,2006,25,KAN,16,15,6,WR
Donte' Stallworth,2006,26,PHI,12,11,6,WR
Ernest Wilford,2006,27,JAX,16,12,6,WR
Marty Booker,2006,30,MIA,14,13,5,WR
Chris Chambers,2006,28,MIA,16,16,5,WR
Kevin Curtis,2006,28,STL,16,1,5,WR
D.J. Hackett,2006,25,SEA,14,5,5,WR
Greg Jennings,2006,23,GNB,14,11,5,WR
Eric Moulds,2006,33,HOU,16,16,5,WR
Antwaan Randle El,2006,27,WAS,16,16,5,WR
Rod Smith,2006,36,DEN,16,16,5,WR
Nate Washington,2006,23,PIT,16,2,5,WR
Wes Welker,2006,25,MIA,16,2,5,WR
Roddy White,2006,25,ATL,16,5,5,WR
Cedrick Wilson,2006,28,PIT,15,12,5,WR
Hank Baskett,2006,24,PHI,16,5,4,WR
Troy Brown,2006,35,NWE,16,9,4,WR
Terrance Copper,2006,24,NOR,15,4,4,WR
Ronald Curry,2006,27,OAK,16,4,4,WR
Rashied Davis,2006,27,CHI,16,2,4,WR
Doug Gabriel,2006,26,"NWE,OAK",15,5,4,WR
Michael Jenkins,2006,24,ATL,16,16,4,WR
Brandon Jones,2006,24,TEN,16,10,4,WR
Ashley Lelie,2006,26,ATL,15,10,4,WR
Roscoe Parrish,2006,24,BUF,16,1,4,WR
Peerless Price,2006,30,BUF,16,15,4,WR
Josh Reed,2006,26,BUF,13,1,4,WR
Travis Taylor,2006,28,MIN,16,16,4,WR
Amani Toomer,2006,32,NYG,8,8,4,WR
Bobby Wade,2006,25,TEN,16,2,4,WR
Demetrius Williams,2006,23,BAL,16,0,4,WR
Mark Bradley,2006,24,CHI,10,0,3,WR
Nate Burleson,2006,25,SEA,16,7,3,WR
Drew Carter,2006,25,CAR,14,2,3,WR
Tim Carter,2006,27,NYG,16,8,3,WR
Michael Clayton,2006,24,TAM,12,9,3,WR
Bobby Engram,2006,33,SEA,7,6,3,WR
Malcom Floyd,2006,25,SDG,12,0,3,WR
Dante Hall,2006,28,KAN,15,0,3,WR
Joe Jurevicius,2006,32,CLE,13,8,3,WR
Greg Lewis,2006,26,PHI,16,3,3,WR
