"","player","forty","vertical","broad_jump","three_cone","shuttle"
"252","joshua dobbs",4.64,33,122,6.75,4.31
"253","jerod evans",4.8,26.5,112,7.21067910451153,4.41
"254","brad kaaya",NA,NA,NA,NA,NA
"255","deshone kizer",4.83,30.5,107,7.4,4.53
"256","trevor knight",4.54,35.5,125,7.04,4.14
"257","mitch leidner",4.93,34.5,123,6.96,4.25
"258","sefo liufau",5.08,27,105,7.32,4.45
"259","patrick mahomes",4.8,30,114,6.88,4.08
"260","nathan peterman",4.82,31,110,7.14,4.31
"261","cooper rush",4.93,27,105,7.23,4.47
"262","seth russell",NA,NA,NA,NA,NA
"263","mitchell trubisky",4.67,27.5,116,6.87,4.25
"264","deshaun watson",4.66,32.5,119,6.95,4.31
"265","davis webb",4.79,33,118,6.92,4.21
"266","austin allen",4.81,29.5,112,7.18,4.48
"267","quinton flowers",4.63,32.2955190791066,112,6.81,4.57
"268","nic shimonek",4.88,28.5,101,7.28,4.32
"269","josh allen",4.75,33.5,119,6.9,4.4
"270","j t  barrett",4.7,30,108,7.38,4.44
"271","kurt benkert",4.95,31,112,7.15,4.33
"272","sam darnold",4.85,26.5,105,6.96,4.4
"273","danny etling",4.76,30.5,114,7.09,4.37
"274","luke falk",4.98899076451016,26.5,103,7.30924917350056,4.44012524647838
"275","riley ferguson",4.98,29,110,6.96,4.4
"276","lamar jackson",NA,NA,NA,NA,NA
"277","kyle lauletta",4.81,31,113,6.95,4.07
"278","tanner lee",4.98,32,115,7,4.41
"279","chase litton",4.9,29.5,106,7.49,4.53
"280","baker mayfield",4.84,29,111,7,4.28
"281","josh rosen",4.92,31,111,7.09,4.28
"282","mason rudolph",4.9,26,104.833189542683,7.26806214979895,4.40460097310131
"283","mike white",5.09,27,96,7.4,4.4
"284","logan woodside",4.79,31.5,103,6.94,4.15
"285","jake browning",4.74,29,112,7.19,4.44
"286","ryan finley",4.73,30.5,116,7.2,4.2
"287","nick fitzgerald",4.64,29.5,115,7.05701745783103,4.26672044259681
"288","will grier",4.84,34,112,7.09,4.28
"289","dwayne haskins",5.04,28.5,106.169455405352,7.27641000438772,4.43927348540305
"290","tyree jackson",4.59,34.5,120,7.09,4.28
"291","daniel jones",4.81,33.5,120,7,4.41
"292","drew lock",4.69,31,112,7.03,4.12
"293","trace mcsorley",4.57,33,115,7.09,4.12
"294","gardner minshew",4.97,33.5,116,7.14,4.45
"295","kyler murray",NA,NA,NA,NA,NA
"296","brett rypien",4.91,33,116,7.1,4.29
"297","kyle shurmur",4.91,29.5,106,7.51,4.53
"298","easton stick",4.62,33.5,118,6.65,4.05
"299","jarrett stidham",4.81,31,110,7.28,4.33
"300","jordan ta'amu",4.77,27.5,109,7.06,4.36
"301","clayton thorson",NA,NA,NA,NA,NA
"302","kelly bryant",4.69,35,125,7.33,4.51
"303","joe burrow",NA,NA,NA,NA,NA
"304","kevin davidson",5,28,109,7.13,4.37
"305","jacob eason",4.89,27.5,110,7.5,4.75
"306","jake fromm",5.01,30,111,7.27,4.51
"307","anthony gordon",NA,NA,NA,NA,NA
"308","justin herbert",4.68,35.5,123,7.06,4.46
"309","jalen hurts",4.59,35,125,6.89514813466076,4.19462388834629
"310","brian lewerke",4.95,31,113,7.14,4.4
"311","jordan love",4.74,35.5,118,7.21,4.52
"312","jake luton",NA,NA,NA,NA,NA
"313","cole mcdonald",4.58,36,121,7.13,4.52
"314","steven montez",4.68,33,117,7.25,4.43
"315","james morgan",4.89,29,112,7.51,4.64
"316","shea patterson",4.71,31,116,7.14,4.5
"317","nate stanley",4.81,28.5,108,7.26,4.48
"318","tua tagovailoa",NA,NA,NA,NA,NA
"319","david moore",4.86,29.5,112,7.62,4.75
"320","ian book",4.65,32.5,115,6.99,4.19
"321","sam ehlinger",4.84,36.5,114,7.15,4.44
"322","justin fields",4.45,35.0532517798953,119.879725706045,6.90156643563695,4.16550081549802
"323","feleipe franks",4.61,32.5,117,7.16,4.22
"324","mac jones",4.72,32,116,7.04,4.39
"325","trey lance",NA,NA,NA,NA,NA
"326","trevor lawrence",NA,NA,NA,NA,NA
"327","davis mills",4.82,32,110,6.95,4.4
"328","jamie newman",NA,NA,NA,NA,NA
"329","peyton ramsey",4.77,28,108,7.28,4.41
"330","zach smith",5.23,29.5,111,7.26,4.52
"331","kevin thomson",4.75,35.5,126,6.98,4.23
"332","zac thomas",4.59,30,115,7.06,4.28
"333","kyle trask",5.1,31.5,113,7.08,4.6
"334","cole kelley",NA,NA,NA,NA,NA
"335","ej perry",4.65,34.5,123,6.85,4.18
"336","jack coan",4.9,33,115,6.95,4.39
"337","matt corral",NA,NA,NA,NA,NA
"338","dustin crum",4.75,32.5,120,7.08138375622504,4.36
