"","player","height","weight","forty","vertical","broad_jump","three_cone","shuttle","G","Cmp","Att","Pct","Yds","YPA","AYPA","TD","Int","Rate","RushAtt","RushYds","RushAvg","RushTD","ConfIndicator"
"68","jordan palmer",78,231,4.98,30.5,104,7.32,4.58,12,282,429,65.7,3595,8.4,8.1,26,14,149.6,47,-86,-1.8,1,"0"
"69","brady quinn",76,232,4.73,30.850999277972,111.422406589949,7.19873055726977,4.3688163742558,13,289,467,61.9,3426,7.3,8.2,37,7,146.7,82,71,0.9,2,"0"
"70","jeff rowe",77,226,4.91,29.5,114,7.16,4.42,12,241,389,62,2925,7.5,7.4,21,10,137.8,119,244,2.1,6,"0"
"71","jamarcus russell",77,265,4.83,30.3843021153441,110.595002224698,7.30018343478039,4.40548018023748,12,188,311,60.5,2443,7.9,7.5,15,9,136.6,61,-22,-0.4,2,"1"
"72","troy smith",72,225,4.72,32.3663363291817,114.740378534403,6.97416478057212,4.24914239732302,11,149,237,62.9,2282,9.6,10.2,16,4,162.7,136,611,4.5,11,"1"
"73","drew stanton",75,226,4.75,30.5,108,6.77,4.41,11,164,269,61,1807,6.7,5.9,12,10,124.7,110,445,4,5,"1"
"74","isaiah stanback",74,216,4.6,32.2623077737693,114.135751793439,7.08246228871054,4.31192705356242,8,101,189,53.4,1325,7,7.4,10,3,126.6,85,350,4.1,4,"0"
"75","t c  ostrander",74,227,4.92,28.7389147544128,106.617790007618,7.29929537006587,4.46752532580635,8,130,229,56.8,1422,6.2,6.2,7,3,116.4,32,-171,-5.3,0,"0"
"76","bernard morris",75,223,4.68,24.5,109,7.06346915845387,4.30568194188288,12,253,398,63.6,3149,7.9,7.6,17,10,139.1,130,488,3.8,4,"0"
"77","anthony morelli",76,231,5.07,26.5,108,7.43,4.6,13,234,402,58.2,2651,6.6,6.4,19,10,124.2,48,-13,-0.3,0,"1"
"78","sam keller",76,241,4.99,24,107,7.07,4.35,9,205,325,63.1,2422,7.5,6.9,14,10,133.7,25,-78,-3.1,0,"1"
"79","paul smith",73,208,4.95,26.5,111,7.02,4.29,14,327,544,60.1,5065,9.3,9.5,47,19,159.8,105,119,1.1,13,"0"
"80","adam tafralis",73,221,4.78,32,108,7.14,4.33,12,251,400,62.8,3022,7.6,7.2,18,11,135.6,76,181,2.4,2,"0"
"81","kyle wright",75,218,4.85,25.5,105,7.34,4.32,10,141,241,58.5,1747,7.2,5.6,12,14,124.2,87,66,0.8,3,"1"
"82","erik ainge",77,225,4.98,21.5,108,7.51,4.6,14,325,519,62.6,3522,6.8,7.1,31,10,135.5,16,-32,-2,0,"1"
"83","john david booty",74,218,4.82,22.5,99,7.24296104854403,4.58,10,215,340,63.2,2361,6.9,7,23,10,138,23,-106,-4.6,1,"0"
"84","colt brennan",74,207,4.79,30.3637204954277,110.605321410567,7.09436898966051,4.33533450182351,12,359,510,70.4,4343,8.5,8.5,38,17,159.8,82,27,0.3,8,"0"
"85","alex brink",74,211,4.96,28,112,7.22,4.19,12,305,503,60.6,3818,7.6,7.3,26,15,135.5,63,34,0.5,0,"0"
"86","brian brohm",75,230,4.81,30,115,7.13,4.55,12,308,473,65.1,4024,8.5,8.6,30,12,152.4,57,-46,-0.8,3,"0"
"87","dennis dixon",75,195,4.58,32.769310210095,115.370483171538,6.91985583398497,4.241413520592,10,172,254,67.7,2136,8.4,9.3,20,4,161.2,105,583,5.6,9,"0"
"88","matt flynn",74,231,4.79,28,109,7.21,4.34,12,202,359,56.3,2407,6.7,6.5,21,11,125.8,100,215,2.2,4,"1"
"89","chad henne",75,230,4.92,25.5,106,7.17,4.4,10,162,278,58.3,1938,7,6.7,17,9,130.5,24,-120,-5,0,"1"
"90","kevin o'connell",77,225,4.61,31,113,7.01,4.38,12,257,439,58.5,3063,7,6.8,15,8,124.8,135,408,3,11,"0"
"91","matt ryan",77,228,4.89,30.1408078487643,110.597918493172,7.4,4.51,14,388,654,59.3,4507,6.9,6.5,31,19,127,68,2,0,2,"1"
"92","andre woodson",76,229,4.85,29.3509628702887,108.576774147074,7.25366600303107,4.41862948608805,13,327,518,63.1,3709,7.2,7.7,40,11,144.5,69,-193,-2.8,3,"1"
"93","chase holbrook",76,242,5.12,27,108,7.93,4.65,12,309,457,67.6,3361,7.4,7.1,25,14,141.3,81,-196,-2.4,2,"0"
"94","cullen harper",75,225,4.86,30,105,7.43,4.49,13,221,360,61.4,2601,7.2,6.2,13,14,126.2,54,-140,-2.6,2,"1"
"95","tom brandstater",77,220,4.87,28.5,106,6.93,4.37,13,221,371,59.6,2664,7.2,6.7,18,12,129.4,51,-50,-1,4,"0"
"96","hunter cantwell",76,235,5.22,26,99,7.4,4.59,12,221,377,58.6,2493,6.6,5.6,16,16,119.7,39,-115,-2.9,1,"0"
"97","rudy carpenter",74,218,4.89,29,100,7.25,4.47,12,213,351,60.7,2493,7.1,6.9,16,9,130.3,52,-150,-2.9,1,"0"
"98","chase daniel",72,218,4.79,33,113.854752283886,7.28,4.31,14,385,528,72.9,4335,8.2,8.2,39,18,159.4,69,281,4.1,1,"1"
"99","nate davis",73,226,4.95,26.5,99,7.07397777365582,4.28648015446133,14,258,401,64.3,3591,9,9.4,26,8,157,66,312,4.7,5,"0"
"100","josh freeman",78,248,4.9,33.5,119,7.11,4.43,12,224,382,58.6,2945,7.7,7.8,20,8,136.5,107,404,3.8,14,"1"
"101","graham harrell",74,223,4.95,29.5,98,7.45,4.56,13,442,626,70.6,5111,8.2,9,45,9,160,41,-15,-0.4,6,"1"
"102","brian hoyer",74,215,5.02,32,109,7.1,4.42,13,180,353,51,2404,6.8,6.2,9,9,111.5,43,-94,-2.2,1,"1"
"103","stephen mcgee",75,225,4.61,33,112,7.34,4.49,6,56,85,65.9,586,6.9,6.3,2,2,126.9,17,-50,-2.9,0,"1"
"104","curtis painter",75,225,4.87,29,102,7,4.48,10,227,379,59.9,2400,6.3,5.7,13,11,118.6,44,10,0.2,0,"1"
"105","mark sanchez",74,227,4.93,32.5,116,7.06,4.21,13,241,366,65.8,3207,8.8,9.4,34,10,164.6,52,16,0.3,3,"0"
"106","matthew stafford",74,225,4.81,30.5,107,7.06,4.47,13,235,383,61.4,3459,9,9.2,25,10,153.5,55,40,0.7,1,"1"
"107","pat white",72,197,4.55,35,117,7.06,4.42,12,180,274,65.7,1842,6.7,7.1,21,7,142.3,191,974,5.1,8,"0"
"108","drew willy",75,215,4.9,30.5,109,7.18,4.45,14,304,468,65,3304,7.1,7.6,25,6,139.3,65,-115,-1.8,4,"0"
"109","john parker wilson",73,219,4.75,29.5,105,7.53,4.59,14,187,323,57.9,2273,7,6.5,10,8,122.3,72,-6,-0.1,5,"1"
"110","tim hiller",76,229,4.97,32.5,118,7.1,4.54,12,309,514,60.1,3249,6.3,6.1,23,13,122.9,39,-101,-2.6,0,"0"
"111","daryll clark",74,235,4.72,31.9454682777246,113.870824988482,7.09215226670712,4.30591040133856,13,192,321,59.8,2592,8.1,8.4,19,6,143.4,79,282,3.6,10,"1"
"112","riley skinner",72,214,5.05,30,101,7.04,4.29,12,264,400,66,3160,7.9,7.9,26,12,147.8,70,56,0.8,2,"1"
"113","jevan snead",75,219,5.04,33,106,7.08,4.33,13,191,351,54.4,2632,7.5,6.1,20,20,124.8,52,101,1.9,3,"1"
"114","sam bradford",76,236,4.79,29.179712888875,107.69807627698,7.25894123877224,4.43500083679559,3,39,69,56.5,562,8.1,8.7,2,0,134.5,4,-18,-4.5,0,"1"
"115","jarrett brown",75,224,4.5,34.5,114,7.24,4.39,13,187,296,63.2,2144,7.2,6.6,11,9,130.2,117,466,4,6,"0"
"116","levi brown",75,229,4.93,31.5,106,7.07,4.43,13,321,504,63.7,4254,8.4,8.5,23,9,146.1,54,7,0.1,1,"0"
"117","sean canfield",76,223,4.93,29.5,100,7.26,4.39,13,303,446,67.9,3271,7.3,7.6,21,7,141.9,48,-160,-3.3,2,"0"
"118","jimmy clausen",75,222,4.76,30.0100864905997,109.491644060518,7.18783874198938,4.36799992824385,12,289,425,68,3722,8.8,9.7,28,4,161.4,59,-95,-1.6,3,"0"
"119","max hall",73,209,4.84,32,102,7.07,4.35,13,275,409,67.2,3560,8.7,8.8,33,14,160.1,72,75,1,2,"0"
"120","mike kafka",75,225,4.93,32,110,6.96,4.37,13,319,492,64.8,3430,7,6.5,16,12,129.3,150,295,2,8,"1"
"121","dan lefevour",75,230,4.6,29.5,110,6.93,4.22,14,318,456,69.7,3438,7.5,8.1,28,7,150.3,183,713,3.9,15,"0"
"122","thaddeus lewis",72,215,4.84,28,107,7.14224636160389,4.35437562734009,12,274,449,61,3330,7.4,7.5,20,8,134.5,86,48,0.6,4,"1"
"123","colt mccoy",73,216,4.79,31.3986200772829,114,7.07665379474109,4.32540899971825,14,332,470,70.6,3521,7.5,7.5,27,12,147.4,129,348,2.7,3,"1"
"124","tony pike",78,223,4.9,28.5,108,7.06,4.53,10,211,338,62.4,2520,7.5,8.4,29,6,149.8,31,6,0.2,2,"0"
"125","zac robinson",74,214,4.68,35,110,7.24,4.4,12,180,301,59.8,2084,6.9,6.1,15,12,126.4,111,305,2.7,4,"1"
"126","tim tebow",75,236,4.71,38.5,115,6.66,4.17,14,213,314,67.8,2895,9.2,9.8,21,5,164.2,217,910,4.2,14,"1"
"127","ryan colburn",75,233,5.12,30.8107930362669,111.273594855629,6.84,4.28,13,227,360,63.1,2817,7.8,8,23,9,144.9,95,75,0.8,3,"0"
"128","jeff van camp",77,218,4.83,31,114,6.87,4.16,12,192,335,57.3,2459,7.3,6.6,17,13,128,55,-189,-3.4,0,"0"
"129","andy dalton",74,215,4.83,29.5,106,6.93,4.27,13,209,316,66.1,2857,9,9.9,27,6,166.5,86,435,5.1,6,"0"
"130","nathan enderle",76,240,5.12,25.5,102,7.13,4.46,13,271,478,56.7,3314,6.9,6.3,22,16,123.4,59,-197,-3.3,1,"0"
"131","blaine gabbert",76,234,4.61,33.5,120,6.84,4.26,13,301,475,63.4,3186,6.7,6.5,16,9,127,112,232,2.1,5,"1"
"132","jerrod johnson",77,251,4.75,29,119,7.28,4.31,7,158,279,56.6,1947,7,6.5,14,9,125.4,79,146,1.8,2,"1"
"133","colin kaepernick",77,233,4.53,32.5,115,6.85,4.18,14,233,359,64.9,3022,8.4,8.6,21,8,150.5,173,1206,7,20,"0"
"134","jake locker",74,231,4.51,35,120,6.77,4.12,12,184,332,55.4,2265,6.8,6.6,17,9,124.2,114,385,3.4,6,"0"
"135","ryan mallett",79,253,5.37,24,103,7.25456181858104,4.39030159591444,13,266,411,64.7,3869,9.4,9.7,32,12,163.6,44,-74,-1.7,4,"1"
"136","greg mcelroy",74,220,4.84,33,107,7.11,4.45,13,222,313,70.9,2987,9.5,10.1,20,5,169,60,-12,-0.2,1,"1"
"137","cam newton",77,248,4.56,35,126,6.92,4.18,14,185,280,66.1,2854,10.2,11.2,30,7,182,264,1473,5.6,20,"1"
"138","christian ponder",74,229,4.63,34,116,6.85,4.09,12,184,299,61.5,2044,6.8,7,20,8,135.7,100,180,1.8,4,"1"
"139","ricky stanzi",76,223,4.87,32.5,110,6.95,4.43,13,221,345,64.1,3004,8.7,9.4,25,6,157.6,48,-6,-0.1,2,"1"
"140","tyrod taylor",73,217,4.47,37.5,126,6.78,4.09,14,188,315,59.7,2743,8.7,9.5,24,5,154.8,146,659,4.5,5,"1"
"141","scott tolzien",74,212,4.92,29.5,116,6.84,4.12,13,194,266,72.9,2459,9.2,9.4,16,6,165.9,30,-30,-1,0,"1"
"142","t j  yates",75,219,5.06,29.5,104,6.96,4.12,13,282,422,66.8,3418,8.1,8,19,9,145.5,79,-77,-1,3,"1"
"143","jordan jefferson",76,223,4.58,36.5,116,6.81,4.06,10,61,100,61,737,7.4,7.7,6,2,138.7,75,263,3.5,3,"1"
"144","jacory harris",75,203,4.65,37,113,7.1,4.4,11,195,300,65,2486,8.3,8.3,20,9,150.6,53,88,1.7,0,"1"
"145","darron thomas",75,220,4.77,36,121,7.17,4.28,13,211,339,62.2,2761,8.1,9.2,33,7,158.7,56,206,3.7,3,"1"
"146","kirk cousins",75,214,4.84,28.5,109,7.05,4.5,14,267,419,63.7,3316,7.9,8,25,10,145.1,37,-39,-1.1,0,"1"
"147","austin davis",74,219,4.69,31,109,6.73,4.11,14,286,475,60.2,3496,7.4,7.6,30,11,138.2,110,352,3.2,4,"0"
"148","nick foles",77,243,5.14,30.5,112,7.27911475601765,4.42901978321568,12,387,560,69.1,4334,7.7,7.6,28,14,145.6,43,-103,-2.4,0,"1"
"149","robert griffin",74,223,4.33,39,120,6.94284123457393,4.23489738600943,13,291,402,72.4,4293,10.7,11.8,37,6,189.5,179,699,3.9,10,"1"
"150","chandler harnish",74,219,4.68,32.5,112,6.78,4.15,14,237,384,61.7,3216,8.4,9.1,28,6,153,194,1379,7.1,11,"0"
"151","case keenum",73,208,4.72,32.5,103,7.10373372983083,4.32330902761799,14,428,603,71,5631,9.3,10.6,48,5,174,57,35,0.6,3,"0"
"152","ryan lindley",76,229,4.86,29.5,108,7.52,4.45,13,237,447,53,3153,7.1,7.3,23,8,125.7,18,-51,-2.8,0,"0"
"153","andrew luck",76,234,4.59,36,124,6.8,4.28,13,288,404,71.3,3517,8.7,9.4,37,10,169.7,47,150,3.2,2,"1"
"154","kellen moore",72,197,4.82,27,99,7.41,4.56,13,326,439,74.3,3800,8.7,9.7,43,9,175.2,20,-66,-3.3,0,"0"
"155","brock osweiler",79,242,4.83,30.7575175362783,111.704976703714,7.20434666422992,4.36918761712407,13,326,516,63.2,4036,7.8,7.7,26,13,140.5,83,90,1.1,3,"1"
"156","ryan tannehill",76,221,4.65,32.2686490799797,114.952386057073,7.08638978227038,4.31516356067607,13,327,531,61.6,3744,7.1,6.9,29,15,133.2,58,306,5.3,4,"1"
"157","brandon weeden",75,221,4.89,28.0881395489851,106.045765712618,7.22903689456112,4.44622736957183,13,409,565,72.4,4727,8.4,8.6,37,13,159.7,17,-102,-6,1,"1"
"158","russell wilson",71,204,4.53,34,118,6.97,4.09,14,225,309,72.8,3175,10.3,11.8,33,4,191.8,79,338,4.3,6,"1"
"159","james vandenberg",75,226,4.92,32,116,6.95,4.52,12,223,389,57.3,2249,5.8,5.2,7,8,107.7,63,16,0.3,4,"1"
"160","matt barkley",74,227,4.91,29.2721014314217,108.405465374787,7.22903948656294,4.41411700370561,11,246,387,63.6,3273,8.5,8.6,36,15,157.6,25,-72,-2.9,0,"1"
"161","tyler bray",78,232,5.05,29.5418222173489,100,7.2,4.51,12,268,451,59.4,3612,8,8.3,34,12,146.3,15,-34,-2.3,0,"1"
"162","colby cameron",74,212,4.78,30.5,112,6.98,4.28,12,359,522,68.8,4147,7.9,8.7,31,5,153.2,61,177,2.9,4,"0"
"163","zac dysert",75,231,4.81,31.3197137685479,112.579509127604,7.15267136186729,4.34804446084109,12,302,480,62.9,3483,7.3,7.2,25,12,136.1,108,265,2.5,2,"0"
"164","mike glennon",79,225,4.94,26.5,102,7.49,4.52,13,330,564,58.5,4031,7.1,6.9,31,17,130.7,56,-164,-2.9,2,"1"
